Insrance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,232.99,269.19,132.03,183.15,100.19,100.8,184.32,178.06,58.13,17.73,84.22,29.86,10.76,24.73,73.62,63.04
2,156.52,172.92,78.96,89.44,54.26,49.8,94.05,82.4,24.49,11.47,18.73,12.59,9.58,6.95,26.89,31.19
3,725.51,685.49,377.39,311.64,295.98,260.53,382.94,245.15,207.46,118.92,326.33,9.57,71.78,93.61,204.03,178.87
4,227.76,284.04,128.48,156.66,112.43,106.8,155.13,126.34,34.72,19.52,40.57,29.74,15.85,22.23,41.01,38.83
5,134.62,141.24,112.2,99.18,62.78,36.96,100.72,103.29,27.79,21.43,20.14,18.59,15.71,10.55,38.24,39.57
6,118.27,132.3,77.75,65.09,52.67,38.42,93.13,79.21,23.55,16.29,6.51,16.67,9.54,11.88,21.33,24.43
7,275.1,276.82,181.45,154.93,82.42,50.15,201.88,189.61,58.88,41.95,75.26,35.29,12.83,5.04,58.54,62.74
8,137.99,133.3,91.17,87.77,58.8,47.64,90.78,98.42,28.55,11.37,7.21,18.26,7.28,11.84,22.08,25.11
9,431.01,518.7,194.59,289.57,164.55,237.43,274.64,242,127.01,25.7,119.12,44.96,31.18,56.96,133.03,118.49
10,235.15,295.38,116.83,164.86,105.58,106.95,142.97,127.28,45.4,9.79,32.96,30.59,8.16,26.04,50.67,44.43
11,809.19,956.44,334.32,294.88,373.48,325.92,308.79,329.72,257.54,94.14,235.02,31.77,97.32,90.87,198.52,246.98
12,504.65,511,142.07,250.49,132.06,193.21,232.57,250.28,96.5,21.79,117.38,11.31,25.22,29.52,91.87,104.76
13,150.02,158.4,69.91,97.73,64.27,59.86,104.76,96.4,35.96,4.56,20.76,17.42,10.19,22.24,38.69,34.58
14,105.96,132.8,62.27,76.76,65.27,51.01,82.88,66.74,19.99,6.77,8.51,13.18,9.23,9.57,22.12,21.41
15,309.87,344.71,123.82,130.05,132.56,108.56,157.17,170.72,62.65,12.92,29.64,26.28,15.61,29.06,82.1,76.1
16,214.82,219.04,94.39,123.25,90.66,80.24,141.8,100.3,48.52,3.94,37.22,34.33,19.22,18.84,46.93,42.21
17,115.26,120.22,95.46,89.79,67.76,39.15,105.59,96.23,51.24,48.74,81.93,42.71,25.64,5.59,58.49,57.06
18,93.19,112.98,86.24,72.25,63.32,28.16,95.7,74.4,37.42,40.03,61.4,33.03,23.29,4.36,46.99,46.51
19,139.7,138.74,106.76,113.36,73.66,29.51,118.87,116.52,64.65,55.07,100.18,52.64,31.37,5.68,64.62,68.18
20,85.48,102.39,69.97,68.1,52.3,24.31,80.67,73.39,26.62,28.99,51.71,27.98,14.5,1.33,36.82,38.41
21,104.74,102.02,93.12,76.2,52.34,20.17,98.52,90.96,51.77,46.98,83.74,37.82,18.8,2.25,52.4,50.75
22,70.56,92.43,58.99,56.31,28.9,10.97,74.79,57.87,29.23,27.99,29.08,21.97,11.34,0.66,35.06,33.25
23,106.03,110.76,97.03,85.82,56.55,22.03,110.78,96.76,48.32,54.09,86.2,42.85,23.37,3.53,55.74,59.01
24,86.21,99.49,69.22,65.72,37.58,15.58,85.7,69.93,34.74,34.37,37.18,25.38,15.69,1.45,38.77,40.58
25,138.17,144.6,67.66,84.74,52.75,37.06,91.52,87.07,56.05,31.55,96.41,25.84,15.92,1.75,63.38,63.77
26,85.23,103.17,56.57,48.42,40.4,27.87,59.17,51.44,27.32,14.77,45.18,14.65,10.07,1.54,41.17,40.35
27,120.48,134.06,67.3,66.33,58.36,26.15,78.58,64.38,49.58,27.28,86.67,17.74,13.15,1.65,47.5,50.21
28,96.77,124.67,54.15,62.84,45.46,26.22,70.2,50.19,27.35,24.92,54.66,17.11,12.21,1.24,39.95,40.32
29,110.81,119.82,88.14,93.62,60.7,31.18,106.7,94.38,47.2,46.61,75.71,32.62,26.67,4.24,57.96,59.29
30,68.78,80.45,53.35,43.12,36.97,16.12,57.59,52.62,26.06,19.28,24.22,16.49,11.23,2.11,27.9,28.66
31,120.06,121.88,74.52,82.01,53.37,25.54,86.48,75.18,48.3,37.24,84.68,31.95,17.28,2.28,54.92,56.91
32,88.11,97.11,65.63,50.52,45.82,20.07,55.77,55.08,32.27,20.5,27.46,20.65,16.1,2.32,34.32,38.56
33,101.41,99.86,81.63,69.95,56.9,21.34,90.14,80.06,59.57,53.72,76,46.32,30.82,4.55,58.77,63.83
34,76.59,90.36,66.26,58.81,45.51,18.28,69.6,62.41,39.97,45.57,69.61,36.11,26.72,4.16,49.15,46.13
35,120.37,111.7,101.24,97.74,74.98,37.65,106.45,101.3,71.86,70.66,87.61,63.33,46.74,13.95,72.15,78.1
36,80.72,91.15,69.88,66.2,49.91,23.64,77.38,67.4,43.38,47.52,73.12,43.34,28.57,6.38,45.7,47.28
37,90.74,95.94,90.87,71.57,52.49,17.68,93.19,88.95,60.35,65.23,79.93,47.61,31.32,3.34,64.48,63.64
38,73.77,83.75,71.17,59.26,41.57,15.92,75.38,65.96,37.45,48.57,72.21,35.9,23.86,3.23,45.2,44.68
39,101.8,102.1,101.99,86.68,51.32,15.69,111.12,100.78,63.25,68.52,85.28,58.57,28.93,2.49,72.13,72.28
40,84.49,97.97,77.85,75.56,47.14,20.3,85.84,78.47,46.58,57.06,82.79,52.54,28.87,4.41,50.53,54.46
41,88.48,89.53,65.82,69.45,51.6,23.38,77.79,63.94,44.26,39.28,60.79,36.35,26.14,5.12,52.51,54.64
42,69.69,80.81,47.37,55.79,38.13,25.05,57.83,49.66,30.55,30.44,61.17,26.9,19.38,4.56,35.61,38.01
43,104.83,104.35,67.37,66.08,52.16,20.57,75.33,74.44,54.1,41.11,75.53,37.19,24.76,4.21,59.6,58.2
44,83.18,98.52,60.82,63.48,43.5,22.14,68.99,58.64,43.22,40.3,71.26,33.91,24.48,4.53,43.91,41.03
45,100.32,91.72,75.1,66.32,54.11,23.45,86.51,77.15,61.2,52.98,76.12,42.24,29.95,5.22,59.41,58.69
46,74.15,85.03,68.42,55.34,47.11,21.78,72.62,64.8,37.54,45.32,70.4,33.84,28.46,5.31,43.65,43.89
47,95.62,94.86,78,71.48,55.32,23.99,90.77,77.04,55.19,51.92,71.42,47.65,30.96,5.29,57.41,59.57
48,79.9,102.38,73.13,63.93,52.22,26.23,78.5,70.57,42.79,50.13,79.48,40.46,29.92,6.36,50.12,53.27
49,127.09,121.36,115.09,107.88,86.27,51.94,121.35,113.69,87.06,90.46,102.91,82.63,65.82,30.72,94.72,95.63
50,66.64,79.09,57.93,54.35,38.63,8.84,59.49,55.63,40.69,43.72,64.66,37.07,23.43,1.14,41.44,42.63
51,82.19,80.15,72.87,75.78,54.6,17.53,80.22,75.33,52.47,51.02,63.11,54.06,32.09,4.05,57.44,58.77
52,69.38,80.15,61.3,54.66,38.39,11.01,63.19,59.53,42.12,42.41,64.23,39.91,23.8,1.61,45.4,45.13
53,81.69,79.06,76.97,64.95,41.04,10.53,80.54,75.61,53.5,57.45,65.53,47.61,27.04,1.65,58.22,58.82
54,63.29,75.05,62.88,44.37,34.42,7.42,61.11,58.9,41.51,45.42,66.58,31.68,21.05,0.89,43.63,44.07
55,82.93,84.03,86.34,76.58,46.26,11.91,93.21,88.35,57.95,62.72,70.77,56.85,29.8,1.7,63.77,63.7
56,68.41,81.21,73.07,54.92,39.48,10.39,71.88,61.53,46.16,52.65,71.95,40.59,22.39,1.46,48.44,49.4
57,74.81,74.41,59.56,55.16,43.59,18.08,63.48,60.2,41.23,39.52,55.59,38.96,26.16,4.52,50.44,49.59
58,54.42,65.93,45.16,41.27,32.85,12.58,49.13,45.73,29.42,30.52,50.27,26.77,19.82,2.87,31.12,30.31
59,81.82,86.67,67.72,66.04,51.69,25.56,68.74,63.33,48.74,46.21,61.48,47.62,32.72,9.46,58.1,56.94
60,58.21,62.16,46.33,46.36,34.47,12.45,52.91,42.26,27.64,30.5,48.82,32.36,20.42,2.9,32.39,31.7
61,77.36,78.3,69.54,59.58,45.69,14.26,76.69,71.99,48.52,50.4,60.53,40.44,28.76,2.85,55.31,55.08
62,65.39,75.73,56.46,44.61,36.76,11.72,55.12,50.93,40.86,43.76,64.77,31.27,21.96,1.96,40.6,41.64
63,75.09,75.29,75.03,61.25,45.48,17.65,70.99,63.38,44.53,50.35,62.58,44.29,29.93,4.12,53.15,55.02
64,63.22,77.62,57.14,56.82,36.84,10.29,66.3,57.08,39.87,40.55,62.85,40.36,24.29,1.46,43.04,39.91
