Instance Number,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
1,16,10,9,13,11,12,13,15,1,1,1,1,8,1,1,7
2,16,13,15,10,11,14,9,12,1,1,1,1,1,1,1,1
3,15,16,13,1,1,1,1,14,1,1,1,1,1,1,1,1
4,16,15,11,13,8,14,12,10,1,9,1,1,1,1,1,1
5,16,14,1,13,12,1,1,15,1,1,1,1,1,1,1,1
6,14,11,13,9,12,16,10,15,1,1,1,1,1,1,8,1
7,15,16,13,9,11,12,9,14,1,1,1,1,1,1,1,1
8,14,11,13,15,9,12,10,16,8,1,1,1,1,1,1,7
9,15,16,10,12,8,11,13,14,1,8,1,1,1,1,1,1
10,14,16,9,13,10,11,12,15,7,1,1,1,1,1,8,1
11,15,13,11,1,11,14,1,16,1,1,1,1,1,1,1,1
12,15,13,1,12,10,14,11,16,1,1,1,1,1,1,1,1
13,15,16,13,1,12,1,1,14,1,1,1,1,1,1,1,1
14,13,15,11,10,12,14,9,16,1,8,1,1,1,1,6,7
15,16,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,14,15,12,9,11,10,13,16,1,8,1,6,1,6,1,1
17,14,16,13,10,12,11,9,15,1,1,1,1,1,1,1,1
18,14,16,11,1,13,12,10,15,1,9,1,1,1,1,1,1
19,16,14,10,9,12,13,11,15,1,8,1,1,1,1,1,1
20,10,14,15,16,11,12,9,13,1,1,1,1,7,7,1,1
21,15,13,12,11,8,8,14,16,8,7,1,6,1,1,1,1
22,15,16,9,13,11,10,12,14,1,1,1,1,1,1,1,1
23,13,14,10,12,9,11,15,16,1,7,1,1,1,1,6,8
24,11,15,12,9,13,10,14,16,1,1,6,1,7,7,1,1
25,10,15,13,16,12,11,9,14,1,7,1,8,1,1,1,6
26,9,15,10,13,11,12,14,16,6,1,6,1,6,5,1,1
27,13,14,10,12,9,11,15,16,1,8,1,1,1,1,1,1
28,14,15,5,11,10,12,13,16,5,5,5,1,1,1,5,1
29,15,16,14,11,9,12,13,10,6,6,8,1,1,1,1,1
30,14,10,9,15,12,13,11,16,1,8,1,1,1,1,1,1
31,14,15,13,8,12,11,8,16,1,8,1,1,1,1,1,1
32,15,14,12,13,8,10,11,16,1,8,1,1,1,1,1,1
33,14,15,13,1,11,11,10,16,1,1,1,1,1,1,1,9
34,16,14,11,12,9,10,13,15,1,8,1,1,1,1,1,1
35,16,14,13,11,10,9,12,15,7,8,1,1,1,1,1,1
36,15,12,14,13,11,10,9,16,2,8,2,2,1,7,2,2
37,13,15,12,9,10,14,11,16,1,1,1,1,1,1,1,1
38,16,11,14,8,12,13,9,15,1,1,1,1,1,7,1,10
39,16,13,11,14,10,9,12,15,1,1,1,1,1,1,1,1
40,13,16,14,1,1,15,1,1,1,1,1,1,1,1,1,1
41,16,15,9,10,12,13,10,14,1,1,1,1,1,1,1,1
42,11,16,12,9,14,13,10,15,1,8,1,1,1,1,1,1
43,15,13,10,9,12,14,11,16,1,1,1,1,7,6,1,8
44,15,14,12,9,12,11,10,16,1,6,6,1,1,1,1,6
45,15,14,12,1,13,11,1,16,1,1,1,1,1,1,1,1
46,14,15,9,12,10,11,12,16,1,8,1,1,1,1,1,1
47,14,15,13,1,12,11,10,16,1,9,1,1,1,1,1,1
48,11,14,13,15,9,10,15,12,1,1,1,8,1,1,1,1
49,13,15,9,10,12,14,10,16,1,1,1,1,1,1,1,1
50,15,16,1,11,1,13,12,14,1,1,1,1,1,1,1,1
51,14,16,13,11,12,9,10,15,1,1,1,1,1,1,1,1
52,15,13,11,9,11,14,9,16,1,1,1,1,1,1,1,1
53,16,15,13,11,9,10,12,14,1,1,1,1,1,1,1,1
54,11,16,1,12,14,1,12,15,1,1,1,1,1,1,1,1
55,16,14,11,1,12,13,1,15,1,1,1,1,1,1,1,1
56,13,16,11,9,12,14,10,15,1,8,1,1,1,1,1,1
57,16,15,13,9,11,11,9,14,1,7,1,1,1,1,1,8
58,15,13,10,10,9,14,10,16,1,1,1,1,1,1,1,1
59,15,13,10,9,11,14,12,16,1,8,1,1,1,1,1,1
60,9,16,10,10,13,13,10,15,1,8,1,1,1,1,1,1
61,13,16,12,9,10,14,11,15,1,7,1,1,1,1,8,1
62,15,13,10,8,11,12,14,16,9,1,1,1,1,1,1,1
63,13,16,11,9,12,15,9,14,1,8,1,1,1,1,1,1
64,14,16,10,12,1,11,12,15,1,1,1,1,1,1,1,1
65,15,10,11,14,12,13,9,16,5,1,1,8,5,4,7,1
66,15,16,10,12,11,9,12,14,1,1,1,1,1,1,1,8
67,16,14,9,11,12,15,10,13,1,1,1,1,1,8,1,1
68,15,14,9,12,11,10,13,16,1,1,1,1,1,1,1,1
69,14,16,8,10,11,13,12,15,1,9,1,1,1,1,1,1
70,15,14,10,9,12,12,10,16,1,1,1,1,1,1,1,1
71,15,14,9,10,12,13,10,16,1,1,1,1,1,1,1,1
72,16,13,9,10,15,14,11,12,1,1,1,1,1,1,1,1
73,16,15,13,10,11,9,11,14,6,1,1,1,1,6,1,6
74,13,15,14,9,11,12,10,16,1,1,1,1,1,1,1,1
75,15,16,9,11,14,10,12,13,1,1,1,1,1,1,1,1
76,13,16,12,14,10,9,15,11,1,1,1,1,1,8,1,1
77,15,16,12,10,9,14,11,13,1,8,7,1,1,1,1,1
78,14,16,9,10,12,13,10,15,1,1,1,1,1,1,1,1
79,15,16,13,1,12,14,1,10,1,10,1,1,1,1,1,1
80,15,14,12,1,11,13,1,16,1,1,1,1,1,1,1,1
81,16,12,9,13,10,11,14,15,1,4,1,8,5,1,5,7
82,16,15,12,6,11,13,6,14,1,6,1,1,1,1,6,6
83,14,15,13,1,11,12,1,16,1,10,1,1,1,1,1,1
84,16,14,11,12,10,13,9,15,8,1,1,1,1,1,1,1
85,12,9,10,14,11,12,15,16,2,1,2,2,8,2,7,2
86,14,16,13,8,11,10,12,15,1,9,1,1,1,1,1,1
87,14,13,12,10,5,11,15,16,7,8,4,8,1,1,3,5
88,14,16,10,12,9,11,12,15,6,6,1,1,1,1,8,5
89,15,16,10,12,11,9,13,14,1,8,1,1,1,1,1,7
90,16,13,11,10,12,14,9,15,8,3,1,3,6,1,7,5
91,15,16,11,1,13,12,10,14,1,1,1,1,1,1,1,1
92,16,13,10,9,10,12,14,15,7,8,1,1,1,1,1,6
93,13,15,10,11,9,14,12,15,7,1,1,8,1,6,1,1
94,13,16,14,11,10,9,11,15,1,1,1,1,1,1,1,1
95,16,15,13,4,12,11,4,14,4,4,4,4,1,1,4,1
96,16,14,9,13,11,12,10,15,8,3,5,7,1,5,3,1
97,15,16,9,13,10,14,12,11,4,7,1,1,4,8,1,4
98,14,16,11,12,1,9,12,15,1,9,1,1,1,1,1,1
99,16,13,10,14,9,11,12,15,1,7,1,1,1,1,6,7
100,14,16,11,13,9,10,12,15,1,7,1,1,1,7,1,1
101,11,15,13,16,12,9,10,14,1,1,5,8,6,1,1,7
102,14,15,13,11,10,9,12,16,4,8,4,1,4,4,1,1
103,16,14,9,10,13,12,11,15,7,8,1,1,1,1,1,1
104,15,16,9,13,10,11,12,14,7,5,3,8,1,3,5,1
105,11,14,15,10,13,12,9,16,1,6,8,1,5,3,7,3
106,11,16,9,14,12,10,13,15,1,6,1,3,3,7,3,8
107,16,13,14,10,12,9,11,15,7,6,8,1,4,1,1,5
108,14,15,11,12,9,10,13,16,7,8,1,1,1,1,6,1
109,12,15,11,13,10,9,14,16,1,6,7,4,1,5,8,1
110,14,15,12,9,10,11,16,13,1,1,1,1,1,1,1,1
111,15,14,12,9,10,11,13,16,8,5,4,1,1,5,1,5
112,15,13,9,10,14,11,12,16,1,1,1,1,8,1,1,1
113,15,16,12,10,11,9,13,14,1,1,1,1,1,1,1,1
114,16,14,13,1,11,12,1,15,1,1,1,1,1,1,1,1
115,15,14,9,10,13,12,11,16,6,7,1,4,1,3,5,8
116,11,15,14,9,10,13,12,16,1,7,6,8,5,1,1,1
117,13,16,9,14,12,11,10,15,1,1,6,1,6,6,1,1
118,15,13,14,12,11,10,9,16,1,1,1,1,1,1,7,8
119,14,15,11,12,6,10,12,16,1,9,1,1,1,1,7,8
120,14,16,10,9,13,11,12,15,1,1,1,1,1,1,1,1
121,15,14,10,9,11,13,12,16,1,1,1,1,1,1,1,1
122,13,15,14,9,11,10,12,16,7,8,1,1,1,1,1,1
123,15,13,11,9,11,14,10,16,1,1,1,1,1,1,1,1
124,12,11,14,10,16,15,9,13,1,1,1,1,1,8,1,1
125,15,14,9,10,13,11,12,16,8,1,1,1,1,1,1,1
126,16,15,10,9,13,11,12,14,4,4,1,4,1,4,1,4
127,14,16,9,12,13,10,11,15,6,8,1,1,1,1,1,6
128,15,16,11,1,13,12,1,14,10,1,1,1,1,1,1,1
129,16,14,8,13,10,11,12,15,3,6,1,8,1,5,3,7
130,11,16,14,7,13,12,1,15,1,10,8,1,9,1,1,1
131,15,16,1,10,11,14,12,13,1,1,1,1,1,1,1,1
132,15,14,10,12,8,11,12,16,1,9,1,1,1,1,1,1
133,11,14,12,9,13,15,9,16,1,8,1,1,1,5,5,5
134,15,10,9,13,11,14,12,16,1,5,1,1,1,5,8,7
135,16,14,13,9,12,10,11,15,1,8,1,1,1,1,1,1
136,16,15,1,1,1,14,1,13,1,1,1,1,1,1,1,1
137,15,10,9,11,12,13,14,16,1,7,3,8,3,6,5,1
138,14,15,11,9,10,13,12,16,1,8,1,1,1,1,1,1
139,14,15,11,1,12,13,1,16,1,1,1,1,1,1,1,1
140,15,16,10,13,9,11,12,14,4,4,1,4,1,1,4,4
141,16,15,11,12,13,9,10,14,8,3,1,3,3,7,2,3
142,14,12,11,16,9,10,13,15,7,1,1,8,1,1,1,6
143,16,15,11,9,11,13,9,14,6,1,1,1,1,1,7,7
144,15,14,11,12,9,13,10,16,7,4,4,1,3,1,8,6
145,16,13,9,14,11,10,15,12,4,8,1,1,1,4,4,4
146,15,16,13,8,12,11,10,14,1,9,1,1,1,1,1,1
147,15,14,9,11,9,13,11,16,8,7,6,2,2,2,1,2
148,13,15,12,11,14,9,10,16,1,8,5,1,7,1,1,5
149,15,16,14,10,12,7,10,13,8,6,9,1,1,1,1,1
150,16,14,9,12,10,11,13,15,8,7,1,1,1,1,6,1
151,14,15,13,9,10,12,11,16,1,8,1,1,1,1,1,1
152,15,14,12,13,1,11,10,16,8,9,1,1,1,1,1,1
153,15,16,10,9,12,11,14,13,1,8,1,1,1,7,1,1
154,15,16,9,10,13,11,12,14,1,1,1,1,1,1,1,1
155,15,14,12,10,9,13,10,16,1,6,1,1,1,6,6,1
156,16,14,10,9,11,13,12,15,5,5,1,1,1,1,5,8
157,14,15,11,12,9,10,12,16,1,8,1,1,1,1,7,1
158,16,12,9,14,10,15,11,13,1,8,1,1,6,7,1,1
159,16,15,10,14,11,13,9,12,5,7,1,6,1,8,3,3
160,11,15,13,12,10,14,9,16,1,7,8,2,2,2,2,2
